,company,total_layoffs,impacted_workforce_percentage,reported_date,industry,headquarter_location,sources,status
0,C2FO,20,2,2022-12-09,"Fintech, payments","Leawood, KS",Kansas City Business Journal,Private
2,Amperity,13,3,2022-08-20,"Saas, analytics",Seattle,Geekwire,Private
3,Addepar,20,3,2023-01-18,"fintech, data analytics","Mountain View, CA",Fortune,Private
4,Thirty Madison,24,3,2022-05-13,Health Care,New York,Axios,Private
6,Armis Security,25,4,2022-12-08,Cybersecurity,San Francisco,Calcalistech,Private
7,Foxtrot,26,4,2022-09-23,"food and beverage, e-commerce",Chicago,Chicago Business,Private
8,Headspace Health,50,4,2022-12-14,"telehealth, wellness",Los Angeles,Bloomberg,Private
9,RealSelf,11,5,2022-07-21,Beauty tech,Seattle,GeekWire,Private
10,New Relic,110,5,2022-08-18,"productivity, enterprise software","Bay Area, CA",MarketWatch,Private
11,Abra,12,5,2022-06-30,Crypto,Mountain View,The Block,Private
12,Clarify Health,15,5,2022-07-22,Health Care,San Francisco,Axios,Private
13,Argo AI,150,5,2022-07-07,Transportation,Pittsburgh,TechCrunch,Private
14,Snyk,220,5,2022-10-24,Cybersecurity,Boston,Globes,Private
15,JOKR,50,5,2022-06-16,"Food delivery, ecommerce",New York,TechCrunch,Private
16,Project44,63,5,2022-07-15,Logistics,Chicago,FreightWaves,Private
17,Reef,750,5,2022-05-06,"Food delivery, ecommerce",Miami,The Information,Private
21,CoinDCX,100,6,2023-01-11,"Blockchain, cryptocurrency","Mumbai, India",Biometric Update,Private
22,Food52,20,6,2022-04-08,"Media, E-commerce",New York,Digiday,Private
23,Motive,237,6,2022-12-07,"enterprise software, productivity",San Francisco,Motive,Private
24,Canoo,58,6,2022-07-01,Transportation,"Torrance, California",Business Insider,Private
25,Wonder,130,7,2022-11-30,"Food delivery, ecommerce",New York,The Information,Private
26,Argyle,20,7,2022-08-26,InsurTech,New York,TechCrunch,Private
27,Kabam,35,7,2022-11-09,video games,San Francisco,TechCrunch,Private
28,Upstart,60,7,2022-11-01,Fintech,"San Carlos, CA",TechCrunch,Private
29,Gemini,68,7,2022-07-18,Crypto,New York,TechCrunch,Private
30,Faire,84,7,2022-11-03,"E-commerce, retail",San Francisco,The Information,Private
31,Convoy,90,7,2022-06-09,Logistics,Seattle,GeekWire,Private
35,Innovaccer,120,8,2022-09-01,"Cloud Infrastructure, health care",San Francisco,Inc42,Private
36,StockX,120,8,2022-06-28,E-commerce,Detroit,The Information,Private
37,Albert,20,8,2022-06-10,FinTech,Los Angeles,dot.LA,Private
38,Personetics,30,8,2023-01-05,"Fintech, analytics",New York,Calcalistech,Private
39,Bright Machines,30,8,2022-06-28,Robotics,San Francisco,CTech,Private
40,Stash Financial,32,8,2022-12-06,"fintech, personal finance",New York,Stash,Private
41,Dutchie,56,8,2022-06-06,Cannabis,"Bend, Oregon",GeekWire,Private
42,Stord,59,8,2022-06-03,Logistics,Atlanta,Business Insider,Private
43,Niantic,85,8,2022-06-29,"Video Games, AR",San Francisco,Bloomberg,Private
44,Picsart,90,8,2022-05-17,Media/entertainment,Miami,The Information,Private
46,Remote,100,9,2022-07-06,HR Tech,San Francisco,Publico,Private
47,Vox Media,169,9,2023-01-20,"Digital media, journalism","Washington, DC",CNN,Private
48,Yotpo,70,9,2022-11-16,"marketing, media",New York,Calcalistech,Private
49,Aura,70,9,2022-06-24,Cybersecurity,Boston,Bank Info Security,Private
50,Komodo Health,78,9,2022-12-13,"Health care, predictive analytics",San Francisco,TechCrunch,Private
52,Khoros,120,10,2022-10-21,"SaaS, enterprise software",Austin,Austin Business News,Private
53,Bonterra,140,10,2023-01-13,"social impact, finance",Distributed,The Nonprofit Times,Private
54,Chargebee,142,10,2022-11-02,"Fintech, SaaS",San Francisco,TechCrunch,Private
55,6sense,150,10,2022-10-12,"Artificial Intelligence, Machine Learning",San Francisco,MoneyControl,Private
56,Relativity,150,10,2022-12-07,"Data science, enterprise",Chicago,Crain's Chicago,Private
57,TIFIN,21,10,2022-06-14,FinTech,Boulder,Axios,Private
58,Lusha,30,10,2022-07-18,Sales tech,New York,CTech,Private
59,Aqua Security,65,10,2022-12-05,"SecOps, security","Burlington, MA",Calcalistech,Private
60,Spin,78,10,2022-09-30,Transportation,San Francisco,TechCrunch,Private
61,Verbit,80,10,2022-07-05,Natural Language Processing,New York,CTech,Private
71,Carta,200,10,2023-01-11,Fintech,San Francisco,TechCrunch,Private
72,ConsenSys,100,11,2023-01-10,"Cryptocurrency, FinTech",New York,CoinDesk,Private
73,Tipalti,123,11,2023-01-11,FinTech,San Mateo,Calcalistech,Private
74,Brex,136,11,2022-10-11,Fintech,San Francisco,TechCrunch,Private
75,Salsify,90,11,2022-11-16,"Cloud computing, e-commerce",Boston,Boston Business Journal,Private
79,Klarna,750,12,2022-09-22,Fintech,Stockholm,Sifted,Private
80,JumpCloud,100,12,2023-01-18,"Cloud services, cybersecurity","Louisville, CO",JumpCloud,Private
81,Chime,156,12,2022-11-02,Fintech,San Francisco,The Information,Private
82,Embroker,30,12,2022-10-25,InsurTech,San Francisco,The Insurer,Private
83,Divvy Homes,40,12,2022-09-27,PropTech,San Franicsco,The Information,Private
84,Ethos Life,40,12,2022-06-24,InsurTech,San Francisco,Coverager,Private
85,GoFundMe,94,12,2022-10-26,Crowdfunding,"Redwood City, CA",GoFundMe,Private
86,Digital Currency Group,10,13,2022-11-02,Cryptocurrency,"Stamford, CT",Coindesk,Private
87,Intercom,124,13,2022-11-14,"customer service, automation",San Franicsco,Silicon Republic,Private
88,SundaySky,24,13,2022-07-11,Video Conferencing Software,New York,Globes,Private
89,Chipper Cash,50,13,2022-12-06,"fintech, money transfer",San Francisco,TechCrunch,Private
90,Udacity,55,13,2022-10-11,"edtech, artificial intelligence","Mountain View, CA",Udacity,Private
91,Sourcepoint,7,13,2022-06-02,"Privacy Tech, Marketing Tech",New York,Crunchbase News reporting,Private
93,Sendoso,100,14,2022-06-06,Marketing Automation,San Francisco,Business Insider,Private
94,Malwarebytes,125,14,2022-08-17,"security, enterprise software",San Francisco,TechCrunch,Private
95,Substack,13,14,2022-06-29,"Media, Content Creators",San Francisco,New York Times,Private
99,Nayya,16,15,2022-06-17,"Employee Benefits, HR Tech",New York,Crunchbase News reporting,Private
100,Verily,250,15,2023-01-11,"health care, data collection",San Francisco,The Information,Private
101,CyCognito,30,15,2022-12-08,Cybersecurity,Palo Alto,Calcalistech,Private
102,Zumper,45,15,2022-06-16,PropTech,San Francisco,The Real Deal,Private
103,Polly,47,15,2022-12-02,"Insurtech, fintech","Williston, VT",VT Digger,Private
104,Woven,5,15,2022-08-16,"Artificial intelligence, recruiting",Indianapolis,AdAge,Private
105,The Mom Project,54,15,2022-07-20,Talent marketplace,Chicago,LinkedIn,Private
120,Stream,20,15,2022-06-30,Communications Infrastructure,Boulder,Pragmatic Engineer,Private
121,Carbon Health,450,16,2023-01-06,Health Care,San Francisco,Carbon Health CEO Eren Bali,Private
122,Jam City,200,17,2022-08-04,"Mobile Apps, Gaming",Culver City,VentureBeat,Private
123,Next Insurance,150,17,2022-07-07,InsurTech,Palo Alto,CTech,Private
124,OwnBackup,170,17,2022-11-15,"SaaS, enterprise software","Englewood Cliffs, NJ",Calcalistech,Private
125,Everlane,30,17,2023-01-05,"Fashion, e-commerce",San Francisco,The Information,Private
126,Patreon,80,17,2022-09-13,Social media,San Francisco,The Information,Private
127,Recharge,84,17,2022-10-27,Fintech,Los Angeles,Recharge CEO,Private
130,Lithic,27,18,2022-12-07,Fintech,New York,Axios,Private
131,SQream Technologies,30,18,2022-07-06,Data Analytics,New York,CTech,Private
132,Emotive,30,18,2022-07-07,SMS Marketing,Los Angeles,dot.LA,Private
135,Socure,104,19,2023-01-05,"cybsersecurity, predictive analytics","Incline Village, NV",Biometric Update,Private
136,Postscript,43,19,2022-06-26,"Marketing Tech, SMS Marketing",San Francisco,Alex Beller,Private
137,Qumolo,80,19,2022-06-29,Data storage,Seattle,GeekWire,Private
141,Homeward,120,20,2022-08-11,"Real Estate, PropTech",Austin,The Real Deal,Private
142,Turntide,130,20,2022-07-28,"CleanTech, energy","Sunnyvale, CA",Business Insider,Private
143,Flyhomes,150,20,2022-07-20,"Real Estate, PropTech",Seattle,GeekWire,Private
144,Curology,150,20,2022-03-16,E-commerce,San Francisco,SF Business Times,Private
145,MasterClass,156,20,2022-06-22,Edtech,San Francisco,MasterClass CEO David Rogier,Private
146,Lacework,200,20,2022-05-26,Cybersecurity,San Jose,The Information,Private
147,Equitybee,25,20,2022-10-31,Fintech,San Francisco,Calcalistech,Private
148,Airtable,254,20,2022-12-08,"Data science, enterprise",San Francisco,Airtable,Private
149,Plaid,260,20,2022-12-07,Fintech,San Francisco,TechCrunch,Private
150,Nate,30,20,2022-08-30,E-commerce,New York,The Information,Private
151,Coterie Insurance,30,20,2022-05-27,InsurTech,Cincinnati,CincyInno,Private
152,Intrinsic,40,20,2023-01-11,"robotics, AI","Mountain View, CA",This Information,Private
153,Rhino,57,20,2022-02-03,"PropTech, InsurTech",New York,The Real Deal,Private
154,Flexport,640,20,2023-01-11,shipping and logistics,San Francisco,CNBC,Private
155,Redesign Health,67,20,2022-10-10,health care,New York,Fast Company,Private
156,Astronomer,76,20,2023-01-04,"Data analytics, cloud services",Cincinnati,Astronomer,Private
157,Calm,90,20,2022-08-11,"personal health, wellness",San Francisco,Wall Street Journal,Private
163,Greenlight,104,21,2023-01-12,"Fintech, banking",Atlanta,TechCrunch,Private
164,Flipboard,24,21,2022-10-16,News,"Palo Alto, CA",Axios,Private
165,Advata,32,21,2022-10-28,"health care, analytics","Bellevue, WA",GeekWire,Private
166,Superhuman,23,22,2022-06-03,Email Software,San Francisco,CEO Rahul Vohra,Private
167,Exodus,59,22,2022-11-04,"Cryptocurrency, blockchain","Nebraska City, NE",Exodus CEO,Private
168,Tonkean,23,23,2022-06-15,Software,San Francisco,The Marker,Private
169,Lokalise,76,23,2022-11-16,"Saas, APIs","Dover, DE",Lokalise founders,Private
171,Loom,57,24,2022-10-20,Enterprise Communication,San Francisco,SFGate,Private
173,Hyperscience,100,25,2022-03-03,AI,New York,The Information,Private
174,Celsius,150,25,2022-07-03,Crypto,"Hoboken, New Jersey",CTech,Private
175,Baton,16,25,2022-06-29,"Transporation, Logistics",San Francisco,Freight Waves,Private
176,Policygenius,170,25,2022-06-02,InsurTech,New York,TechCrunch,Private
177,IRL,25,25,2022-06-02,Social Media,San Francisco,TechCrunch,Private
178,Vise,25,25,2022-05-04,Fintech,New York,CityWire,Private
179,Section4,32,25,2022-05-12,Edtech,New York,TechCrunch,Private
180,Capitolis,37,25,2022-11-17,Fintech,New York,Calcalistech,Private
181,On Deck,72,25,2022-05-05,Business development,San Francisco,TechCrunch,Private
182,Outschool,74,25,2022-12-10,EdTech,San Francisco,TechCrunch,Private
183,OneTrust,950,25,2022-06-09,Cybersecurity,Atlanta,OneTrust,Private
187,SafeGraph,27,25,2022-06-27,"Artificial Intelligence, Machine Learning",San Francisco,SafeGraph,Private
189,EquityZen,30,27,2022-10-31,Fintech,New York,Axios,Private
190,Clear Capital,378,27,2022-10-14,PropTech,"Truckee, CA",TechCrunch,Private
191,Shelf Engine,43,29,2022-07-29,"Food Tech, Software, Grocery Tech",Seattle,GeekWire,Private
192,Veev,100,30,2022-11-11,PropTech,San Mateo,Calcalistech,Private
193,Pacaso,100,30,2022-10-11,PropTech,San Francisco,Inman,Private
194,Snappy,100,30,2023-01-13,"social impact, company benefits",New York,Calcalistech,Private
195,Kraken,1100,30,2022-11-30,Cryptocurrency,San Francisco,Kraken,Private
196,AtoB,32,30,2022-10-19,FinTech,San Francisco,SFGate,Private
197,Genesis,60,30,2023-01-05,"Cryptocurrency, blockchain",New York,CNBC,Private
200,Homie,162,32,2022-10-04,PropTech,"South Jordan, Utah","TechCrunch, Crunchbase News reporting",Private
201,Socure,173,32,2023-01-05,Identity verification,Reno,Biometric Update,Private
202,Bolt,250,33,2022-05-25,FinTech,San Francisco,Fortune,Private
203,Candy Digital,33,33,2022-11-28,Cryptocurrency,New York,Decrypt,Private
204,Ideoclick,40,33,2022-05-04,E-commerce,Seattle,Puget Sound Business Journal,Private
205,Brave Care,40,33,2022-09-06,"Pediatrics, telehealth",Portland,The Oregonian,Private
206,Tomo,44,33,2022-05-31,"FinTech, PropTech",Stamford,Business Insider,Private
207,MainStreet,50,33,2022-05-04,Fintech,San Jose,Insider,Private
208,Replicated,50,33,2022-05-31,Enterprise Software,Los Angeles,Replicated,Private
209,Hologram,80,33,2022-06-09,IoT,Chicago,Crain's Chicago Business,Private
212,Happy Money,158,34,2022-11-30,"Fintech, payments",Los Angeles,LinkedIn reports,Private
213,Tonal,262,35,2022-07-13,Fitness,San Francisco,CNBC,Private
214,Hydrow,70,35,2022-07-21,Fitness,Boston,Boston Globe,Private
217,Fabric,120,40,2022-07-13,"E-commerce, Logistics",New York,TechCrunch,Private
218,Rasa,59,40,2022-04-04,Artificial Intelligence,San Francisco,Business Insider,Private
220,Fundbox,150,42,2022-10-25,Fintech,San Francisco,Calcalistech,Private
221,Zeus Living,64,46,2022-10-20,"Home decor, PropTech",San Francisco,San Francisco Business Journal,Private
223,Ocavu,20,48,2022-11-10,Cryptocurrency,"Lehi, UT",Salt Lake Tribune,Private
224,Better.com,5000,50,2022-04-19,Fintech,New York,TechCrunch,Private
225,Virgin Hyperloop,111,50,2022-02-22,Transporation,Los Angeles,Fortune,Private
226,Notarize,170,50,2022-10-31,Legal Tech,Boston,Boston Business Journal,Private
227,Iron Ox,50,50,2022-11-02,"AgTech, food and beverage",San Francisco,TechCrunch,Private
228,BloomTech,88,50,2022-12-01,Edtech,San Francisco,TechCrunch,Private
230,Bizzabo,220,60,2022-12-01,Virtual Event,New York,Calcalistech,Private
231,Parler,60,75,2023-01-10,Social media,"Nashville, TN",The Verge,Private
233,Uniphore,76,76,2023-01-03,"Artificial intelligence, machine learning","Palo Alto, CA",Outlook Start-Up,Private
234,Butler Hospitality,1000,100,2022-07-08,Hospitality,New York,TechCrunch,Private
235,SummerBio,101,100,2022-06-20,"Health Care, Diagnostics",Menlo Park,Bay Area Inno,Private
236,Reali,140,100,2022-08-24,PropTech,"San Mateo, CA",Calcalistech,Private
237,Fast,400,100,2022-04-05,Fintech,San Francisco,The Information,Private
238,Protocol Media,60,100,2022-11-15,"News, media",San Francisco,CNN,Private
239,WanderJaunt,85,100,2022-07-01,"PropTech, Real Estate",San Francisco,Short Term Rentalz,Private
369,F5,100,1,2022-10-21,"SaaS, enterprise software",Seattle,GeekWire,Public
371,Freshworks,90,2,2022-12-15,"CRM, IT","San Mateo, CA",Inc42,Public
372,Coursera,32,3,2022-11-09,Edtech,"Mountain View, CA",Coursera CEO,Public
373,Outbrain,38,3,2022-07-26,Digital Marketing,New York,CTech,Public
374,WalkMe,43,3,2023-01-08,"edtech, product management",San Francisco,Calcalistech,Public
375,Amdocs,700,3,2023-01-02,"CRM, enterprise software","Chesterfield, MO",Calcalistech,Public
376,Nutanix,270,4,2022-08-10,"data center, enterprise software",San Jose,SFGate,Public
377,Varonis Systems,110,5,2022-11-06,Cybersecurity,New York,Calcalistech,Public
378,Amazon,18000,5,2023-01-05,"E-commerce, SaaS",Seattle,Wall Street Journal,Public
379,Zillow,300,5,2022-10-26,PropTech,Seattle,TechCrunch,Public
380,Zendesk,350,5,2022-11-07,"Enterprise software, customer service",San Francisco,SFGate,Public
381,Cisco,4100,5,2022-11-16,"enterprise software, SaaS","San Jose, CA",Silicon Valley Business Journal,Public
382,TechTarget,60,5,2022-12-08,Marketing,"Newton, MA",MarketWatch,Public
383,BlackLine,95,5,2022-12-08,Enterprise Software,Los Angeles,Seeking Alpha,Public
385,Taboola,100,6,2022-09-13,Content marketing,New York,Calcalistech,Public
386,Spotify,588,6,2023-01-24,Music,"Stockholm, Sweden",TechCrunch,Public
387,DoorDash,1250,6,2022-11-30,"Food delivery, ecommerce",San Francisco,Reuters,Public
388,Latch,30,6,2022-05-13,"Smart Home, Security",New York,TechCrunch,Public
389,Teladoc Health,300,6,2023-01-18,"health care, telehealth","Purchase, NY",Digital Health,Public
390,Definitive Healthcare,55,6,2023-01-12,"Health care, analytics","Framingham, MA",CMLVIZ,Public
391,Rivian,840,6,2022-07-28,"electric vehicle, transportation","Irvine, CA",CNN,Public
393,nCino,100,7,2023-01-18,"Fintech, software","Wilmington, NC",Port City Daily,Public
394,8x8,155,7,2023-01-18,"telecommunications, enterprise software","San Jose, CA",Channel Futures,Public
395,Roku,200,7,2022-11-17,"media, streaming","Los Gatos, CA",Variety,Public
396,Informatica,450,7,2023-01-10,"Big data, cloud computing","Redwood City, CA",Channel Futures,Public
398,Unity,509,8,2023-01-17,Video Games,San Francisco,WSJ,Public
399,Asana,180,9,2022-11-15,"collaboration, enterprise software",San Francisco,Asana COO,Public
400,Pear Therapeutics,25,9,2022-07-25,"Software, Biotech",Boston,MassDevice,Public
402,ForeScout Technologies,100,10,2023-01-10,"cybersecurity, cloud services","San Jose, CA",Calcalistech,Public
403,Shopify,1000,10,2022-07-26,E-commerce,"Ottawa, Canada",WSJ,Public
404,Similarweb,120,10,2022-11-16,"AI, analytics",New York,Globes,Public
405,iRobot,140,10,2022-08-05,"artificial intelligence, robotics","Bedford, MA",Geekwire,Public
406,Blend,200,10,2022-04-19,Fintech,San Francisco,HousingWire,Public
407,Skillz,70,10,2022-05-20,Esports/Video Games,San Francisco,TechCrunch,Public
408,Beachbody,70,10,2022-01-27,Fitness,"Santa Monica, CA",Club Industry,Public
409,Zulily,99,10,2022-05-16,E-commerce,Seattle,GeekWire,Public
414,Kaltura,75,11,2023-01-04,"Developer APIs, enterprise software",New York,Globes,Public
415,Twilio,800,11,2022-09-14,Enterprise Software,San Francisco,TechCrunch,Public
417,BuzzFeed,180,12,2022-12-06,"Media, news",New York,Variety,Public
418,AppLovin,300,12,2022-06-29,"Mobile Apps, Developer Tools",Palo Alto,Silicon Valley Business Journal,Public
420,Meta,11000,13,2022-11-09,Social media,"Menlo Park, CA",CNBC,Public
421,Integral Ad Science,120,13,2022-12-07,"Data science, enterprise",New York,Integral Ad Science,Public
424,Lending Club,225,14,2023-01-12,"Fintech, banking",San Francisco,Bloomberg,Public
425,Edgio,95,14,2022-12-13,"Cloud computing, web hosting","Tempe, AZ",Edgio,Public
427,Groupon,500,15,2022-08-08,"ecommerce, retail",Chicago,TechCrunch,Public
428,Lyft,760,15,2022-11-03,Transportation,San Francisco,WSJ,Public
432,GoodRx,140,16,2022-08-31,"Health care, pharmaceuticals",Los Angeles,Seeking Alpha,Public
434,Enjoy,400,18,2022-06-30,"E-commerce, Delivery",Palo Alto,Bloomberg,Public
435,Opendoor,550,18,2022-11-02,Proptech,San Francisco,Opendoor CEO,Public
436,Redfin,1332,19,2022-11-09,PropTech,Seattle,Bloomberg,Public
437,Snap,1280,20,2022-08-31,Social media,"Venice, CA",The Verge,Public
438,Pluralsight,400,20,2022-12-12,"EdTech, IT","Draper, UT",Pluralsight,Public
439,Metromile,60,20,2022-07-29,"Insurtech, transportation",San Francisco,Crunchbase,Public
440,GoHealth,800,20,2022-08-11,"health care, health insurance",Chicago,Chicago Sun Times,Public
444,Leafly,56,21,2022-10-18,Cannabis,Seattle,Leafly,Public
446,Bird,138,23,2022-06-07,Transporation,Santa Monica,TechCrunch,Public
448,TuSimple,350,25,2022-12-21,"electric vehicle, transportation",San Diego,TechCrunch,Public
450,PayPal,83,27,2022-05-23,Fintech,San Jose,The Information,Public
452,Juul,400,30,2022-11-10,"consumer goods, vape pens",San Francisco,CNBC,Public
453,Akili Interactive Labs,46,30,2023-01-12,Health care,Boston,Behavioral Health Business,Public
454,Robinhood,1013,33,2022-08-02,Fintech,Menlo Park,Robinhood,Public
455,Playtika,250,33,2022-05-31,Gaming,Tel Aviv,Globes,Public
456,Vroom,647,33,2022-08-08,"Auto, E-commerce",New York,Automotive News,Public
458,Latch,115,37,2022-08-02,PropTech,"New York, NY",Latch,Public
459,Sema4,750,39,2022-11-14,"AI, health care","Stamford, CT",MarketWatch,Public
460,Root Insurance,467,40,2022-11-09,InsurTech,Columbus,Columbus Dispatch,Public
461,Coinbase,2110,43,2023-01-10,Crypto,San Francisco,CNBC,Public
463,Twitter,3740,70,2023-01-05,Social Media,San Francisco,The Information,Public
